"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Bogaerts, Xander","593428","2026","450","312",0.221,0.247,-0.025999999999999995,0.318,0.369,-0.05099999999999999,0.288,0.318,-0.030000000000000027
"Marsh, Brandon","669016","2026","450","309",0.274,0.263,0.01100000000000001,0.439,0.423,0.016000000000000014,0.324,0.313,0.01100000000000001
"Goodman, Hunter","696100","2026","449","257",0.254,0.23,0.023999999999999994,0.546,0.461,0.08500000000000002,0.367,0.325,0.04199999999999998
"Winn, Masyn","691026","2026","448","312",0.242,0.255,-0.013000000000000012,0.323,0.335,-0.01200000000000001,0.291,0.306,-0.015000000000000013
"Harris II, Michael","671739","2026","448","343",0.291,0.293,-0.0020000000000000018,0.493,0.492,0.0010000000000000009,0.349,0.351,-0.0020000000000000018
"Kwan, Steven","680757","2026","445","337",0.265,0.274,-0.009000000000000008,0.329,0.336,-0.007000000000000006,0.317,0.323,-0.006000000000000005
"Suzuki, Seiya","673548","2026","443","274",0.269,0.246,0.02300000000000002,0.47,0.417,0.05299999999999999,0.36,0.332,0.02799999999999997
"Swanson, Dansby","621020","2026","443","296",0.214,0.22,-0.006000000000000005,0.397,0.379,0.018000000000000016,0.302,0.299,0.0030000000000000027
"Trout, Mike","545361","2026","442","243",0.235,0.254,-0.019000000000000017,0.44,0.506,-0.066,0.358,0.387,-0.029000000000000026
"Stott, Bryson","681082","2026","440","321",0.263,0.273,-0.010000000000000009,0.419,0.413,0.006000000000000005,0.332,0.335,-0.0030000000000000027
"Simpson, Chandler","802415","2026","440","381",0.304,0.257,0.046999999999999986,0.363,0.295,0.068,0.307,0.264,0.04299999999999998
"Soderstrom, Tyler","691016","2026","439","298",0.245,0.25,-0.0050000000000000044,0.475,0.417,0.057999999999999996,0.351,0.332,0.01899999999999996
"Witt Jr., Bobby","677951","2026","439","319",0.284,0.304,-0.020000000000000018,0.45,0.513,-0.063,0.349,0.384,-0.03500000000000003
"De La Cruz, Elly","682829","2026","439","272",0.271,0.274,-0.0030000000000000027,0.499,0.485,0.014000000000000012,0.368,0.367,0.0010000000000000009
"Contreras, Willson","575929","2026","439","259",0.285,0.265,0.019999999999999962,0.533,0.509,0.02400000000000002,0.4,0.388,0.01200000000000001
"Lee, Jung Hoo","808982","2026","437","368",0.298,0.289,0.009000000000000008,0.44,0.379,0.061,0.337,0.312,0.025000000000000022
"Jensen, Carter","695600","2026","436","263",0.227,0.202,0.024999999999999994,0.419,0.358,0.061,0.314,0.283,0.031000000000000028
"Bellinger, Cody","641355","2026","434","309",0.259,0.277,-0.018000000000000016,0.42,0.419,0.0010000000000000009,0.339,0.35,-0.010999999999999954
"Arenado, Nolan","571448","2026","434","297",0.24,0.232,0.00799999999999998,0.424,0.357,0.067,0.325,0.298,0.027000000000000024
"Kurtz, Nick","701762","2026","434","211",0.256,0.243,0.013000000000000012,0.483,0.482,0.0010000000000000009,0.38,0.373,0.007000000000000006
"Keaschall, Luke","807712","2026","432","312",0.262,0.239,0.02300000000000002,0.359,0.345,0.014000000000000012,0.321,0.305,0.016000000000000014
"Chisholm Jr., Jazz","665862","2026","431","253",0.216,0.21,0.006000000000000005,0.396,0.366,0.030000000000000027,0.301,0.289,0.01200000000000001
"Hicks, Liam","689414","2026","430","339",0.283,0.249,0.033999999999999975,0.439,0.348,0.09100000000000003,0.353,0.311,0.04199999999999998
"DeLauter, Chase","800050","2026","429","320",0.277,0.274,0.0030000000000000027,0.433,0.426,0.007000000000000006,0.346,0.346,0
"Smith, Cam","701358","2026","427","280",0.22,0.246,-0.025999999999999995,0.388,0.436,-0.04799999999999999,0.3,0.329,-0.029000000000000026
"Caglianone, Jac","695506","2026","426","282",0.264,0.277,-0.013000000000000012,0.48,0.51,-0.030000000000000027,0.344,0.36,-0.016000000000000014
"Baldwin, Drake","686948","2026","423","283",0.27,0.28,-0.010000000000000009,0.45,0.506,-0.055999999999999994,0.354,0.377,-0.02300000000000002
"Clemens, Kody","665019","2026","420","295",0.231,0.246,-0.014999999999999986,0.465,0.438,0.027000000000000024,0.322,0.323,-0.0010000000000000009
"Bauers, Jake","641343","2026","417","248",0.271,0.26,0.01100000000000001,0.506,0.483,0.02300000000000002,0.381,0.37,0.01100000000000001
"Langeliers, Shea","669127","2026","416","281",0.263,0.268,-0.0050000000000000044,0.497,0.513,-0.016000000000000014,0.357,0.363,-0.006000000000000005
"Durbin, Caleb","702332","2026","414","319",0.251,0.236,0.015000000000000013,0.407,0.324,0.08299999999999996,0.322,0.289,0.03300000000000003
"Duran, Ezequiel","677649","2026","414","285",0.272,0.253,0.019000000000000017,0.451,0.383,0.068,0.337,0.307,0.030000000000000027
"Schanuel, Nolan","694384","2026","409","310",0.274,0.282,-0.007999999999999952,0.391,0.388,0.0030000000000000027,0.33,0.333,-0.0030000000000000027
"Schmitt, Casey","669477","2026","409","310",0.271,0.288,-0.01699999999999996,0.483,0.512,-0.029000000000000026,0.335,0.355,-0.019999999999999962
"Muncy, Max","571970","2026","406","251",0.248,0.237,0.01100000000000001,0.485,0.466,0.01899999999999996,0.357,0.345,0.01200000000000001
"Altuve, Jose","514888","2026","403","288",0.243,0.225,0.017999999999999988,0.395,0.336,0.059,0.308,0.279,0.02899999999999997
"Tovar, Ezequiel","678662","2026","401","274",0.204,0.218,-0.014000000000000012,0.329,0.355,-0.025999999999999968,0.254,0.271,-0.017000000000000015
"McCarthy, Jake","664983","2026","399","309",0.306,0.276,0.02999999999999997,0.518,0.415,0.10300000000000004,0.368,0.321,0.046999999999999986
"Stowers, Kyle","669065","2026","399","229",0.242,0.235,0.007000000000000006,0.462,0.436,0.026000000000000023,0.341,0.331,0.010000000000000009
"O'Hearn, Ryan","656811","2026","398","276",0.27,0.254,0.016000000000000014,0.454,0.41,0.04400000000000004,0.343,0.321,0.02200000000000002
"Jung, Josh","673962","2026","396","286",0.294,0.286,0.008000000000000007,0.441,0.432,0.009000000000000008,0.352,0.347,0.0050000000000000044
"García Jr., Luis","671277","2026","395","315",0.279,0.288,-0.008999999999999952,0.551,0.503,0.04800000000000004,0.366,0.353,0.013000000000000012
"Castro, Willi","650489","2026","395","250",0.263,0.233,0.03,0.426,0.4,0.025999999999999968,0.333,0.31,0.02300000000000002
